  Note    Freq Hz     Dur ms
    G2      196.0       33.8
    G4      784.5       63.4
    B3      494.1        4.2
    G1       98.0       33.8
    B3      494.1       29.6
    G4      784.5      114.1
   ---        0.0       21.1
    C4      523.3        4.2
   G#1      103.8       33.8
    C4      523.3       29.6
   G#4      830.9      135.2
   D#4      622.4       67.6
   G#4      830.9       38.0
   G#2      207.7       33.8
   G#4      830.9       42.2
   ---        0.0       21.1
    C4      523.3        4.2
   G#1      103.8       33.8
    C4      523.3       29.6
    C5     1046.7      114.1
   ---        0.0       21.1
    C4      523.3        4.2
   G#1      103.8       33.8
    C4      523.3       29.6
   D#5     1245.5      135.2
   D#4      622.4       67.6
   D#5     1245.5       38.0
   G#2      207.7       33.8
   D#5     1245.5       63.4
    C4      523.3        4.2
   G#1      103.8       33.8
    C4      523.3       29.6
   D#5     1245.5      135.2
    C4      523.3        4.2
   G#1      103.8       33.8
    C4      523.3       29.6
   D#5     1245.5      135.2
   D#4      622.4       67.6
   D#5     1245.5       38.0
   G#2      207.7       33.8
   D#5     1245.5       63.4
    C4      523.3        4.2
   G#1      103.8       33.8
    C4      523.3       29.6
   D#5     1245.5      114.1
   ---        0.0       21.1
    F3      349.3        4.2
   C#1       69.3       33.8
    F3      349.3       29.6
    F5     1397.2      114.1
   ---        0.0       21.1
   G#3      415.5        4.2
    F1       87.3       33.8
   G#3      415.5       29.6
   D#5     1245.5      114.1
   ---        0.0       21.1
   C#4      554.5        4.2
   G#1      103.8       33.8
   C#4      554.5       29.6
   C#5     1108.9      114.1
   ---        0.0       21.1
    C4      523.3        4.2
   G#1      103.8       33.8
    C4      523.3       29.6
   D#5     1245.5      135.2
   D#4      622.4       67.6
   D#5     1245.5       38.0
   G#2      207.7       33.8
   D#5     1245.5       42.2
   ---        0.0       21.1
    C4      523.3        4.2
   G#1      103.8       33.8
    C4      523.3       29.6
    C5     1046.7      114.1
   ---        0.0       21.1
    C4      523.3        4.2
   G#1      103.8       33.8
    C4      523.3       29.6
   G#4      830.9      135.2
   D#4      622.4       67.6
   G#4      830.9       38.0
   G#2      207.7       33.8
   G#4      830.9       63.4
    C4      523.3        4.2
   G#1      103.8       33.8
    C4      523.3       29.6
   G#4      830.9      135.2
    C4      523.3        4.2
   G#1      103.8       33.8
    C4      523.3       29.6
   G#4      830.9      135.2
   D#4      622.4       67.6
   G#4      830.9       38.0
   G#2      207.7       33.8
   G#4      830.9       63.4
    C4      523.3        4.2
   G#1      103.8       33.8
    C4      523.3       29.6
   G#4      830.9      114.1
   ---        0.0       21.1
    F3      349.3        4.2
   C#1       69.3       33.8
    F3      349.3       29.6
    F5     1397.2      114.1
   ---        0.0       21.1
   G#3      415.5        4.2
    F1       87.3       33.8
   G#3      415.5       29.6
   D#5     1245.5      114.1
   ---        0.0       21.1
   C#4      554.5        4.2
   G#1      103.8       33.8
   C#4      554.5       29.6
   C#5     1108.9      114.1
   ---        0.0       21.1
    C4      523.3        4.2
   G#1      103.8       33.8
    C4      523.3       29.6
   D#5     1245.5      114.1
   ---        0.0       21.1
   D#4      622.4       67.6
    C5     1046.7       38.0
   G#2      207.7       33.8
    C5     1046.7       42.2
   ---        0.0       21.1
    C4      523.3        4.2
   G#1      103.8       33.8
    C4      523.3       29.6
   G#4      830.9      114.1
   ---        0.0       21.1
    F3      349.3        4.2
   C#1       69.3       33.8
    F3      349.3       29.6
    F5     1397.2      114.1
   ---        0.0       21.1
   G#3      415.5        4.2
    F1       87.3       33.8
   G#3      415.5       29.6
   D#5     1245.5      114.1
   ---        0.0       21.1
   C#4      554.5        4.2
   G#1      103.8       33.8
   C#4      554.5       29.6
   C#5     1108.9      114.1
   ---        0.0       21.1
    C4      523.3        4.2
    G1       98.0       33.8
    C4      523.3       29.6
   D#5     1245.5      114.1
   ---        0.0       21.1
   D#4      622.4       67.6
    C5     1046.7       38.0
    G2      196.0       33.8
    C5     1046.7       42.2
   ---        0.0       21.1
    C4      523.3        4.2
    G1       98.0       33.8
    C4      523.3       29.6
   G#4      830.9      114.1
   ---        0.0       21.1
    C4      523.3        4.2
    G1       98.0       33.8
    C4      523.3       29.6
    G4      784.5      135.2
   D#4      622.4       67.6
    G4      784.5       38.0
    G2      196.0       33.8
    G4      784.5       63.4
    C4      523.3        4.2
    G1       98.0       33.8
    C4      523.3       29.6
    G4      784.5      135.2
    C4      523.3        4.2
    G1       98.0       33.8
    C4      523.3       29.6
    G4      784.5      135.2
   D#4      622.4       67.6
    G4      784.5       38.0
    G2      196.0       33.8
    G4      784.5       63.4
    C4      523.3        4.2
    G1       98.0       33.8
    C4      523.3       29.6
    G4      784.5      114.1
   ---        0.0       21.1
    B3      494.1        4.2
    G1       98.0       33.8
    B3      494.1       29.6
    D5     1175.5      114.1
   ---        0.0       21.1
    D4      587.5       67.6
    B4      988.6       38.0
    G2      196.0       33.8
    B4      988.6       42.2
   ---        0.0       21.1
    B3      494.1        4.2
    G1       98.0       33.8
    B3      494.1       29.6
    G4      784.5      114.1
   ---        0.0       21.1
    B3      494.1        4.2
    G1       98.0       33.8
    B3      494.1       29.6
    G4      784.5      135.2
    D4      587.5       67.6
    G4      784.5       38.0
    G2      196.0       33.8
    G4      784.5       63.4
    B3      494.1        4.2
    G1       98.0       33.8
    B3      494.1       29.6
    G4      784.5      135.2
    B3      494.1        4.2
    G1       98.0       33.8
    B3      494.1       29.6
    G4      784.5      135.2
    D4      587.5       67.6
    G4      784.5       38.0
    G2      196.0       33.8
    G4      784.5       63.4
    B3      494.1        4.2
    G1       98.0       33.8
    B3      494.1       29.6
    G4      784.5      114.1
   ---        0.0       21.1
   D#3      311.2        4.2
    C1       65.4       33.8
   D#3      311.2       29.6
    G4      784.5      135.2
    G3      392.1       67.6
    G4      784.5       12.7
   ---        0.0       21.1
   D#4      622.4        4.2
    C2      130.8       33.8
   D#4      622.4       42.2
   ---        0.0       21.1
    C4      523.3        4.2
    C1       65.4       33.8
    C4      523.3       29.6
    G4      784.5      114.1
   ---        0.0       21.1
   D#3      311.2        4.2
    C1       65.4       33.8
   D#3      311.2       29.6
    G4      784.5      135.2
    G3      392.1       67.6
    G4      784.5       12.7
   ---        0.0       21.1
   D#4      622.4        4.2
    C2      130.8       33.8
   D#4      622.4       42.2
   ---        0.0       21.1
    C4      523.3        4.2
    C1       65.4       33.8
    C4      523.3       29.6
    G4      784.5      114.1
   ---        0.0       21.1
   G#3      415.5        4.2
    F1       87.3       33.8
   G#3      415.5       29.6
    C4      523.3      139.4
   G#1      103.8       33.8
    C4      523.3       29.6
    F4      698.6      139.4
    C2      130.8       33.8
    F4      698.6       29.6
   G#4      830.9      114.1
   ---        0.0       21.1
   D#3      311.2        4.2
    C1       65.4       33.8
   D#3      311.2       29.6
    G4      784.5      135.2
    G3      392.1       67.6
    G4      784.5       12.7
   ---        0.0       21.1
   D#4      622.4        4.2
    C2      130.8       33.8
   D#4      622.4       42.2
   ---        0.0       21.1
    C4      523.3        4.2
    C1       65.4       33.8
    C4      523.3       29.6
    G4      784.5      114.1
   ---        0.0       21.1
   D#3      311.2        4.2
    C1       65.4       33.8
   D#3      311.2       29.6
    G4      784.5      135.2
    G3      392.1       67.6
    G4      784.5       12.7
   ---        0.0       21.1
   D#4      622.4        4.2
    C2      130.8       33.8
   D#4      622.4       42.2
   ---        0.0       21.1
    C4      523.3        4.2
    C1       65.4       33.8
    C4      523.3       29.6
    G4      784.5      114.1
   ---        0.0       21.1
   G#3      415.5        4.2
    F1       87.3       33.8
   G#3      415.5       29.6
    C5     1046.7      114.1
   ---        0.0       21.1
    C4      523.3        4.2
   G#1      103.8       33.8
    C4      523.3       29.6
    F5     1397.2      114.1
   ---        0.0       21.1
    F4      698.6        4.2
    C2      130.8       33.8
    F4      698.6       29.6
   G#5     1661.8      114.1
   ---        0.0       21.1
   D#3      311.2        4.2
    C1       65.4       33.8
   D#3      311.2       29.6
    G4      784.5      135.2
    G3      392.1       67.6
    G4      784.5       12.7
   ---        0.0       21.1
   D#4      622.4        4.2
    C2      130.8       33.8
   D#4      622.4       42.2
   ---        0.0       21.1
    C4      523.3        4.2
    C1       65.4       33.8
    C4      523.3       29.6
    G4      784.5      114.1
   ---        0.0       21.1
   D#3      311.2        4.2
    C1       65.4       33.8
   D#3      311.2       29.6
    G4      784.5      135.2
    G3      392.1       67.6
    G4      784.5       12.7
   ---        0.0       21.1
   D#4      622.4        4.2
    C2      130.8       33.8
   D#4      622.4       42.2
   ---        0.0       21.1
    C4      523.3        4.2
    C1       65.4       33.8
    C4      523.3       29.6
    G4      784.5      114.1
   ---        0.0       21.1
    A3      440.1        4.2
    F1       87.3       33.8
    A3      440.1       29.6
    C5     1046.7      114.1
   ---        0.0       21.1
    C4      523.3        4.2
    A1      110.0       33.8
    C4      523.3       29.6
    F5     1397.2      114.1
   ---        0.0       21.1
    F4      698.6        4.2
    C2      130.8       33.8
    F4      698.6       29.6
   G#5     1661.8      114.1
   ---        0.0       21.1
    C4      523.3        4.2
   G#1      103.8       33.8
    C4      523.3       29.6
   G#5     1661.8      342.2
   G#1      103.8       33.8
   G#5     1661.8      169.0
   G#1      103.8       33.8
   G#5     1661.8      371.8
